v: 45678, parent: 65855, key: 0.268700
v: 48517, parent: 45678, key: 0.141700
v: 54466, parent: 48517, key: 0.043900
v: 78143, parent: 54466, key: 0.071300
v: 49456, parent: 78143, key: 0.056600
v: 97024, parent: 45678, key: 0.171000
v: 95472, parent: 97024, key: 0.002600
v: 47435, parent: 97024, key: 0.061800
v: 37237, parent: 54466, key: 0.180000
v: 31160, parent: 45678, key: 0.195300
v: 67947, parent: 31160, key: 0.125100
v: 48796, parent: 67947, key: 0.149400
v: 24148, parent: 48796, key: 0.013200
v: 55923, parent: 24148, key: 0.087700
v: 60280, parent: 31160, key: 0.180600
v: 76664, parent: 60280, key: 0.101900
v: 80504, parent: 60280, key: 0.201600
v: 10996, parent: 24148, key: 0.225200
v: 68595, parent: 10996, key: 0.033000
v: 32176, parent: 68595, key: 0.027300
v: 21027, parent: 32176, key: 0.041600
v: 97491, parent: 10996, key: 0.073500
v: 12095, parent: 97491, key: 0.123100
v: 57297, parent: 21027, key: 0.128200
v: 25026, parent: 57297, key: 0.002000
v: 15497, parent: 25026, key: 0.033600
v: 73488, parent: 12095, key: 0.159500
v: 57636, parent: 73488, key: 0.079900
v: 57859, parent: 57636, key: 0.013200
v: 73865, parent: 57859, key: 0.037100
v: 62576, parent: 57859, key: 0.102400
v: 80776, parent: 62576, key: 0.090700
v: 8051, parent: 15497, key: 0.182900
v: 45046, parent: 8051, key: 0.054700
v: 69750, parent: 45046, key: 0.091600
v: 57850, parent: 80776, key: 0.189800
v: 25970, parent: 45046, key: 0.224700
v: 51591, parent: 57297, key: 0.240200
v: 73237, parent: 51591, key: 0.035000
v: 93868, parent: 51591, key: 0.060100
v: 64983, parent: 51591, key: 0.127300
v: 88447, parent: 64983, key: 0.083800
v: 72002, parent: 88447, key: 0.055200
v: 36817, parent: 88447, key: 0.079800
v: 3360, parent: 88447, key: 0.087100
v: 11296, parent: 64983, key: 0.155300
v: 96080, parent: 11296, key: 0.070800
v: 22129, parent: 11296, key: 0.148300
v: 18100, parent: 36817, key: 0.166700
v: 47301, parent: 18100, key: 0.129600
v: 64218, parent: 47301, key: 0.139000
